last_name,site_id,sample,siteid_sample,substrate,landcover,landcover_details,burn_hx,burn_year,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,hg_ng,hg_ngg,hg_mg_m2
Moubarak,UBD2,MM68,UBD2_MM68,soil,NA,NA,u,NA,61.26756,-163.27008,0.9353,0.412,0.8129,0.048,16.5,3.27,29.363,516.409,7.4362896
Moubarak,UBD2,MM84,UBD2_MM68,soil,NA,NA,u,NA,61.26756,-163.27008,0.948,0.413,0.8707,0.0403,16,2.66,8.878,157.3,1.901757
Moubarak,UBD2,MM95,UBD2_MM68,soil,NA,NA,u,NA,61.26756,-163.27008,0.9109,0.29,0.8639,0.0352,14,1.43,16.342,160.42,1.6940352
Moubarak,UBD3,MM57,UBD3_MM57,soil,NA,NA,u,NA,61.26763,-163.27016,0.9299,0.424,0.8644,0.0355,27,4.06,7.518,81.846,0.8716599
Moubarak,UBD3,MM78,UBD3_MM57,soil,NA,NA,u,NA,61.26763,-163.27016,0.9251,0.451,0.8593,0.0468,14,2.96,7.224,129.951,1.82451204
Moubarak,UBD3,MM94,UBD3_MM57,soil,NA,NA,u,NA,61.26763,-163.27016,0.7265,0.381,0.8387,0.0339,17,2.2,7.175,113.546,1.15476282
Moubarak,UBM1,MM23,UBM1_MM23,soil,NA,NA,u,NA,61.26305,-163.24997,0.8643,0.363,0.889,0.0562,15,3.06,8.299,131.709,2.22061374
Moubarak,UBM1,MM29,UBM1_MM23,soil,NA,NA,u,NA,61.26305,-163.24997,0.9169,0.358,0.8407,0.0652,10,2.33,8.673,187.687,3.67115772
Moubarak,UBM1,MM34,UBM1_MM23,soil,NA,NA,u,NA,61.26305,-163.24997,0.9342,0.399,0.8374,0.0402,13.5,2.16,17.439,300.362,3.62236572
Moubarak,UBM14,MM16,UBM14_MM16,soil,NA,NA,u,NA,61.26092,-163.24168,0.9349,0.371,0.7768,0.0344,20,2.56,12.269,224.625,2.31813
Moubarak,UBM14,MM2,UBM14_MM16,soil,NA,NA,u,NA,61.26092,-163.24168,0.8922,0.372,0.8451,0.069,28,7.19,11.094,137.711,2.8506177
Moubarak,UBM14,MM3,UBM14_MM16,soil,NA,NA,u,NA,61.26092,-163.24168,0.7003,0.321,0.7462,0.128,27,11.1,6.992,74.997,2.8798848
Moubarak,UBM15,MM11,UBM15_MM11,soil,NA,NA,u,NA,61.26113,-163.24171,0.8192,0.351,0.795,0.0599,14.5,3.05,16.166,234.188,4.20835836
Moubarak,UBM15,MM30,UBM15_MM11,soil,NA,NA,u,NA,61.26113,-163.24171,0.7828,0.367,0.7812,0.1665,8,4.88,18.041,282.288,14.1002856
Moubarak,UBM15,MM8,UBM15_MM11,soil,NA,NA,u,NA,61.26113,-163.24171,0.8112,0.343,0.7974,0.0593,14,2.85,31.446,307.15,5.4641985
Moubarak,UBM16,MM1,UBM14_MM16,soil,NA,NA,u,NA,61.26108,-163.24179,0.8087,0.384,0.7606,0.0932,2,0.72,25.677,242.167,6.77098932
Moubarak,UBM16,MM14,UBM14_MM16,soil,NA,NA,u,NA,61.26108,-163.24179,0.928,0.383,0.8448,0.0978,7,2.62,13.31,231.599,6.79511466
Moubarak,UBM16,MM15,UBM14_MM16,soil,NA,NA,u,NA,61.26108,-163.24179,0.9354,0.338,0.7769,0.0609,21,4.33,31.372,519.318,9.48793986
Moubarak,UBM2,MM26,UBM2_MM26,soil,NA,NA,u,NA,61.26328,-163.25018,0.9546,0.429,0.8665,0.0427,14,2.56,12.269,194.561,2.49232641
Moubarak,UBM2,MM37,UBM2_MM26,soil,NA,NA,u,NA,61.26328,-163.25018,0.959,0.368,0.8431,0.0291,14.5,1.55,24.646,336.281,2.93573313
Moubarak,UBM2,MM46,UBM2_MM26,soil,NA,NA,u,NA,61.26328,-163.25018,0.9314,0.416,0.9007,0.026,21,2.27,5.815,106.541,0.8310198
Moubarak,UBM3,MM105,UBM3_MM105,soil,NA,NA,u,NA,61.26274,-163.25017,0.9431,0.465,0.8037,0.0361,18,3.02,15.744,223.986,2.42576838
Moubarak,UBM3,MM31,UBM3_MM105,soil,NA,NA,u,NA,61.26274,-163.25017,0.8706,0.39,0.8227,0.04,24.5,3.83,13.69,312.343,3.748116
Moubarak,UBM3,MM32,UBM3_MM105,soil,NA,NA,u,NA,61.26274,-163.25017,0.9545,0.457,0.8315,0.0408,19,3.54,31.956,436.557,5.34345768
Moubarak,UBT1,MM69,UBT1_MM69,soil,NA,NA,u,NA,61.26198,-163.25053,0.7622,0.206,0.8392,0.291,2,1.2,25.311,200.993,17.5466889
Moubarak,UBT1,MM80,UBT1_MM69,soil,NA,NA,u,NA,61.26198,-163.25053,0.8902,0.368,0.8483,0.0305,16,1.8,13.029,202.921,1.85672715
Moubarak,UBT1,MM85,UBT1_MM69,soil,NA,NA,u,NA,61.26198,-163.25053,0.8442,0.42,0.8739,0.0629,14,3.7,12.557,182.012,3.43456644
Moubarak,UBT10,MM12,UBM15_MM11,soil,NA,NA,u,NA,61.26115,-163.24178,0.9034,0.355,0.7516,0.0468,21.5,3.57,17.823,236.599,3.32184996
Moubarak,UBT10,MM18,UBM15_MM11,soil,NA,NA,u,NA,61.26115,-163.24178,0.9255,0.385,0.7875,0.0428,22,3.63,18.91,248.732,3.19371888
Moubarak,UBT10,MM7,UBM15_MM11,soil,NA,NA,u,NA,61.26115,-163.24178,0.9168,0.395,0.7682,0.0447,20,3.53,21.041,224.581,3.01163121
Moubarak,UBT11,MM20,UBM15_MM11,soil,NA,NA,u,NA,61.26118,-163.24178,0.9411,0.388,0.7996,0.024,18,1.68,NA,NA,NA
Moubarak,UBT11,MM21,UBM15_MM11,soil,NA,NA,u,NA,61.26118,-163.24178,0.5632,0.309,0.687,0.1261,28,10.91,12.378,180.49,6.8279367
Moubarak,UBT11,MM6,UBM15_MM11,soil,NA,NA,u,NA,61.26118,-163.24178,0.917,0.375,0.8138,0.0542,20.5,4.17,18.751,272.901,4.43737026
Moubarak,UBT11,MM9,UBM15_MM11,soil,NA,NA,u,NA,61.26118,-163.24178,0.8537,0.336,0.7767,0.09,28,8.46,11.169,197.893,5.343111
Moubarak,UBT12,MM35,UBM14_MM16,soil,NA,NA,u,NA,61.26109,-163.24164,0.7952,0.333,0.7786,0.0971,17.5,5.66,22.328,241.514,7.03530282
Moubarak,UBT12,MM4,UBM14_MM16,soil,NA,NA,u,NA,61.26109,-163.24164,0.6336,0.213,0.7559,0.04,15,1.28,25.241,216.978,2.603736
Moubarak,UBT12,MM43,UBM14_MM16,soil,NA,NA,u,NA,61.26109,-163.24164,0.6896,0.284,0.7514,0.1558,20.5,9.07,16.687,182.272,8.51939328
Moubarak,UBT2,MM50,UBT2_MM50,soil,NA,NA,u,NA,61.26183,-163.25114,0.8914,0.366,0.8218,0.0564,11,2.27,21.73,287.548,4.86531216
Moubarak,UBT2,MM87,UBT2_MM50,soil,NA,NA,u,NA,61.26183,-163.25114,0.9449,0.439,0.9069,0.0589,9,2.33,4.313,81.408,1.43847936
Moubarak,UBT2,MM88,UBT2_MM50,soil,NA,NA,u,NA,61.26183,-163.25114,0.896,0.375,0.8592,0.0636,7,1.67,14.847,265.172,5.05948176
Moubarak,UBT3,MM59,UBT3_MM59,soil,NA,NA,u,NA,61.26157,-163.25111,0.9265,0.398,0.8998,0.041,12,1.95,3.544,84.301,1.0369023
Moubarak,UBT3,MM63,UBT3_MM59,soil,NA,NA,u,NA,61.26157,-163.25111,0.4262,0.383,0.7645,0.194,11,8.17,5.75,87.413,5.0874366
Moubarak,UBT3,MM71,UBT3_MM59,soil,NA,NA,u,NA,61.26157,-163.25111,0.9178,0.382,0.8966,0.0607,19,4.4,7.652,165.377,3.01151517
Navarro,UNB11,84,UNB11_84,soil,peat plateau,moss patch,u,NA,61.26092,-163.24391,0.9638,0.477,10.01,0.0307,17,2.49,NA,NA,NA
Navarro,UNB11,85,UNB11_84,soil,peat plateau,lichen patch,u,NA,61.26092,-163.24391,NA,NA,NA,NA,18,NA,NA,NA,NA
Navarro,UNB12,81,UNB12_81,soil,peat plateau,lichen patch,u,NA,61.26064,-163.24373,NA,0.504,4.59,0.0312,17,2.67,12.853,297.523,2.78481528
Navarro,UNB12,82,UNB12_81,soil,peat plateau,moss patch,u,NA,61.26064,-163.24373,NA,NA,NA,NA,25,NA,NA,NA,NA
Navarro,UNB13,80,LK21_6,soil,peat plateau,moss patch,u,NA,61.26025,-163.24294,0.9937,0.485,8.28,0.0406,18,3.55,1.661,31.662,0.38564316
Navarro,UNB13,83,LK21_6,soil,peat plateau,lichen patch,u,NA,61.26025,-163.24294,0.9469,0.5,3.79,0.0402,17,3.41,7.944,174.058,2.09913948
Navarro,UNB21,89,UNB21_89,soil,peat plateau,moss patch,u,NA,61.32075,-163.24237,0.9781,0.492,9.14,0.0322,10,1.58,1.558,29.654,0.28645764
Navarro,UNB21,90,UNB21_89,soil,peat plateau,lichen patch,u,NA,61.32075,-163.24237,0.5708,0.283,2.62,0.0967,20,5.47,12.096,143.539,4.16406639
Navarro,UNB22,88,UNB21_89,soil,peat plateau,moss patch,u,NA,61.32072,-163.24243,0.9509,0.476,5.79,0.0346,17,2.8,6.396,112.874,1.17163212
Navarro,UNB22,ENP UNB22S,UNB21_89,soil,peat plateau,lichen patch,u,NA,61.32072,-163.24243,0.9562,0.474,9.29,0.031,15,2.2,6.32,122.808,1.1421144
Navarro,UNB23,86,UNB23_86,soil,peat plateau,moss patch,u,NA,61.32078,-163.24251,NA,0.485,11.45,0.0215,24,2.5,3.025,66.777,0.43071165
Navarro,UNB23,87,UNB23_86,soil,peat plateau,lichen patch,u,NA,61.32078,-163.24251,0.9618,0.479,5.93,0.0533,22,5.62,7.549,136.165,2.17727835
Navarro,UNB31,97,U3_54,soil,peat plateau,moss patch,u,NA,61.27039,-163.23715,0.9782,0.455,10.58,0.0489,15,3.34,3.346,58.354,0.85605318
Navarro,UNB31,98,U3_54,soil,peat plateau,lichen patch,u,NA,61.27039,-163.23715,0.939,0.467,6.44,0.0455,13,2.77,11.027,230.594,3.1476081
Navarro,UNB32,100,U3_54,soil,peat plateau,lichen patch,u,NA,61.27039,-163.23708,0.8108,0.444,4.23,0.0756,14,4.7,11.312,142.433,3.23038044
Navarro,UNB32,99,U3_54,soil,peat plateau,moss patch,u,NA,61.27039,-163.23708,0.9762,0.455,13.13,0.0313,16,2.28,2.392,44.264,0.41563896
Navarro,UNB33,101,U3_54,soil,peat plateau,moss patch,u,NA,61.27036,-163.23706,0.9619,0.487,12.24,0.0337,18,2.96,3.374,64.698,0.65409678
Navarro,UNB33,102,U3_54,soil,peat plateau,lichen patch,u,NA,61.27036,-163.23706,0.787,0.438,4.7,0.0789,12,4.15,9.609,160.043,3.78821781
