date_anlyzd,name,mass_mg,hg_ng,hg_ngg
2022-10-06,MM82,51.730,9.354,181.035
2022-10-06,MM98,62.805,14.305,227.974
2022-10-06,AM6,77.990,7.211,92.454
2022-10-06,AM23,72.185,8.790,121.843
2022-10-11,AM46,75.740,5.031,66.361
2022-10-11,AM52-2,73.255,4.273,58.285
2022-10-11,AM61,52.460,3.810,72.619
2022-10-11,29,79.320,6.000,75.555
2022-10-11,41,74.480,5.492,73.812
2022-10-18,LJ1,51.450,6.111,118.677
2022-10-18,73,69.135,6.662,96.315
2022-10-18,103,55.090,10.674,194.004
