n,last_name,year,vial_num,vial_n,landcover,landcover_details,substrate,substrate_type,site_code,sample_id,site_id,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,burn_hx,burn_year
20,Moubarak,2019,MM66,NA,NA,NA,soil,NA,M1,M1C2,M1,61.26452,-163.2495,0.8661,0.44,0.8279,0.0233,27,2.77,b,2015
25,Moubarak,2019,MM24,NA,NA,NA,soil,NA,M2,M2C1,M2,61.26434,-163.24959,0.9702,0.408,0.8616,0.0323,21,2.77,b,2015
24,Moubarak,2019,MM58,NA,NA,NA,soil,NA,M2,M2C3,M2,61.26434,-163.24959,0.9271,0.348,0.8408,0.0248,19,1.64,b,2015
23,Moubarak,2019,MM64,NA,NA,NA,soil,NA,M2,M2C2,M2,61.26434,-163.24959,0.9247,0.464,0.7958,0.0224,21,2.18,b,2015
27,Moubarak,2019,MM49,NA,NA,NA,soil,NA,M3,M3C1,M3,61.26468,-163.24982,0.9576,0.421,0.8768,0.0234,16,1.57,b,2015
26,Moubarak,2019,MM53,NA,NA,NA,soil,NA,M3,M3C3,M3,61.26468,-163.24982,0.9526,0.451,0.794,0.029,19,2.49,b,2015
28,Moubarak,2019,MM89,NA,NA,NA,soil,NA,M3,M3C2,M3,61.26468,-163.24982,0.9602,0.438,0.9039,0.0346,21,3.18,b,2015
29,Moubarak,2019,MM73,NA,NA,NA,soil,NA,M4,M4C2,M4,61.2653,-163.25005,0.8052,0.386,0.791,0.0491,17,3.22,b,2015
31,Moubarak,2019,MM91,NA,NA,NA,soil,NA,M4,M4C1,M4,61.2653,-163.25005,0.8203,0.424,0.8336,0.0457,17,3.3,b,2015
30,Moubarak,2019,MM99,NA,NA,NA,soil,NA,M4,M4C3,M4,61.2653,-163.25005,0.8162,0.412,0.8101,0.058,15,3.58,b,2015
32,Moubarak,2019,MM74,NA,NA,NA,soil,NA,M5,M5C2,M5,61.2654,-163.24991,0.7302,0.392,0.7605,0.112,7,3.07,b,2015
34,Moubarak,2019,MM90,NA,NA,NA,soil,NA,M5,M5C1,M5,61.2654,-163.24991,0.9312,0.455,0.8778,0.033,21,3.15,b,2015
